mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[5.59891, -2.51775, 0.00177491]","[0.0, 91150.19, 167300.5]","[0.0,0.5,1.0]",23449,32.257202776400135,28.58227245320951,0.2288568986697732,0.8766980278688051,29031.92218347152,3.284521821954673,1.3118311897729489,5.998856871429695,-1.0,0.338,17.09246332130059,0.0,0.0,0.0,0.0
"[-0.417334, 2.09581, 0.00409961]","[5298849.0, 0.0, 5736575.0]","[0.5,0.0,1.0]",204571,9.855808912350328,6.386207823664084,0.5314372455256204,0.6328689812130707,28963.702257761204,3.2780691332009244,12.404383608407278,1.9341158981282347,-1.0,0.564,2.800002692047999,1.2555877761303362,0.0,0.0,0.0
"[3.80249, -0.288732, 0.000150024]","[0.0, 7763366.0, 9235616.0]","[0.0,0.5,1.0]",388090,9.85826827364975,7.259168670920193,0.2088366455186944,0.1101421087702747,18247.72020713452,2.2354729678245926,17.68503632460512,4.874980490703757,0.704,0.704,9.506199456914132,2.620192149796717,0.0,0.0,0.0
[3.34018],[0.0],[0.0],8059,10.142712280647562,8.87763082733259,0.2774804563999197,0.3427870069815045,48969.19174723629,5.108208429823065,5.04826377063646,1.9251195695607493,-1.0,0.777,3.51837919902013,0.0,0.0,0.0,0.0
"[-0.463454, 1.85571, 5.90713e-05]","[6454606.0, 0.0, 7748020.0]","[0.5,0.0,1.0]",38576,8.238651221102998,6.551848767685183,0.1097611038000389,0.6442460498574142,156724.2934669073,14.121250228199688,1.709378850568629,0.5077512902765022,-1.0,0.97,0.691681388051498,0.34566416065192757,0.0039024675456368306,0.0,0.0
"[-1.21329, 3.34583, 7.70765e-06]","[5759859.0, 0.0, 10977460.0]","[0.5,0.0,1.0]",25674,9.777164257503603,7.3099817877536815,0.5143432857787645,0.0367259444276763,80200.45907817969,7.817285692079625,3.328480162504232,0.7162831329408219,-1.0,1.152,1.3101971787972742,0.788981887960858,0.0019885921338981243,0.0,0.0
[4.05624],[0.0],[0.0],317020,31.871716823274216,23.50165350624736,0.4134616948772805,0.267688171167686,16603.886163554467,2.068833788798067,2.7290889243657177,10.378204437363626,1.241,1.241,20.90181710322494,0.0,0.0,0.0,0.0
"[-1.99971, 5.72434, 3.12728e-05]","[4905878.0, 0.0, 12552940.0]","[0.5,0.0,1.0]",284933,10.317904279165491,9.587084739388276,0.1406850589546364,0.2763565063558763,41808.27808824119,4.465150677029579,5.615854880527281,2.148588108189979,-1.0,1.381,5.1406244583158776,3.0383421387924328,0.012015353467816016,0.0,0.0
"[1.43589, 0.000141306, -0.148778]","[0.0, 10758930.0, 9856486.0]","[0.0,1.0,0.5]",286661,32.59160353566578,22.7913213207948,0.0483091302519979,0.701270484735665,33060.97248344904,3.662439393358444,1.3706868749451524,7.269211534307717,-1.0,1.477,8.710596421176875,2.8038621960397707,0.08641071694020007,0.0,0.0
"[3.00322, -1.67515, 0.216099]","[0.0, 1259436.0, 1271549.0]","[0.0,0.5,1.0]",113734,10.589715951294274,9.594362180821904,0.2241966072713327,0.4795125877585945,76848.8321710468,7.532159917746535,2.614454562023936,0.6922349408984905,0.4,0.4,1.1996293717100128,0.9519801051781123,0.0,0.0,0.0
